order_id,order_date,region,category,segment,sales_amount,discount_rate,quantity,profit,customer_rating
ORD-100000,2024-02-14,North,Electronics,Consumer,238.47,0.237,4,39.81,1.9
ORD-100001,2024-01-04,South,Seasonal,Corporate,167.7,0.157,6,21.97,2.1
ORD-100002,2024-01-23,Central,Electronics,Corporate,279.37,0.12,2,94.74,3.2
ORD-100003,2024-05-28,South,Electronics,Corporate,303.14,0.016,5,8.43,2.8
ORD-100004,2024-11-21,  north,Furniture,Consumer,274.04,0.239,8,29.56,2.5
ORD-100005,2024-01-17,West,Office Supplies,Consumer,364.11,0.272,4,42.18,4.7
ORD-100006,2024-03-12,Central,Home & Kitchen,Corporate,133.9,0.225,10,25.45,2.7
ORD-100007,2024-03-19,  north,electronics,Home Office,184.36,0.265,2,30.75,2.5
ORD-100008,2024-10-01,  north,Office Supplies,Consumer,175.94,0.238,5,25.9,2.7
ORD-100009,2024-11-16,  north,Home & Kitchen,Home Office,59.93,0.063,4,66.33,1.6
ORD-100010,2024-07-04,East,Furniture,Consumer,257.82,,4,,4.5
ORD-100011,2024-08-31,South,Office Supplies,Home Office,281.99,0.268,10,40.85,2.7
ORD-100012,2024-08-12,West,Electronics,Consumer,273.68,0.348,4,81.28,1.3
ORD-100013,2024-01-17,North,Home & Kitchen,Consumer,,0.021,5,50.02,3.7
ORD-100014,2024-04-07,  north,electronics,Corporate,259.5,0.275,7,60.58,2.6
ORD-100015,2024-02-25,South,Home & Kitchen,Corporate,267.51,0.255,3,,2.7
ORD-100016,2024-10-03,North,Furniture,Consumer,239.18,0.193,7,67.38,2.9
ORD-100017,2024-08-20,  north,Seasonal,Home Office,268.29,0.093,11,74.59,3.9
ORD-100018,2024-10-26,Central,Furniture,Consumer,287.8,0.262,9,65.8,1.3
ORD-100019,2024-10-31,,Electronics,Corporate,292.21,0.312,11,82.1,3.3
ORD-100020,2024-06-02,North,Electronics,Corporate,65.02,0.139,10,35.0,5.0
ORD-100021,2024-07-08,West,Home & Kitchen,Home Office,281.2,0.308,5,44.71,3.4
ORD-100022,2024-02-29,  north,Home & Kitchen,Consumer,2960.76,0.329,5,41.5,2.1
ORD-100023,2024-01-27,West,Office Supplies,Consumer,267.95,0.088,1,71.65,2.3
ORD-100024,2024-12-19,Central,Electronics,Corporate,402.14,0.196,10,106.39,3.2
ORD-100025,2024-12-15,North,Office Supplies,Home Office,228.85,0.014,7,48.74,4.9
ORD-100026,2024-04-01,East,electronics,Home Office,249.4,0.062,4,-23.42,2.1
ORD-100027,2024-06-05,South,Furniture,Consumer,258.9,0.286,11,31.04,1.8
ORD-100028,2024-10-01,North,Electronics,Corporate,174.5,0.14,3,97.86,3.3
ORD-100029,2024-02-29,Central,Furniture,Corporate,272.23,0.153,1,44.14,3.8
ORD-100030,2024-02-05,East,Home & Kitchen,Corporate,432.35,0.235,11,45.73,4.4
ORD-100031,2024-08-03,West,Seasonal,Home Office,237.23,0.103,3,20.1,3.5
ORD-100032,2024-08-14,Central,electronics,Home Office,1186.26,0.229,3,80.88,3.6
ORD-100033,2024-04-11,North,Furniture,Corporate,225.11,0.082,10,88.3,4.4
ORD-100034,2024-12-01,North,electronics,Consumer,324.25,0.173,3,58.71,4.2
ORD-100035,2024-09-28,Central,Office Supplies,Corporate,220.19,0.047,10,13.39,4.3
ORD-100036,2024-05-06,East,Home & Kitchen,Corporate,315.7,0.302,11,25.14,2.0
ORD-100037,2024-07-15,  north,Furniture,Consumer,132.42,0.028,7,62.5,2.6
ORD-100038,2024-10-21,North,Office Supplies,Corporate,170.01,0.204,7,36.77,4.4
ORD-100039,2024-08-11,West,Office Supplies,Home Office,329.83,0.077,11,35.98,4.2
ORD-100040,2024-12-05,,Seasonal,Corporate,225.24,0.317,3,-11.73,4.5
ORD-100041,2024-08-03,North,electronics,Consumer,275.83,0.308,9,66.18,1.2
ORD-100042,2024-01-11,South,Furniture,Corporate,304.43,0.011,11,,1.5
ORD-100043,2024-03-24,North,Home & Kitchen,Consumer,334.7,0.337,5,34.18,3.3
ORD-100044,2024-12-22,  north,Home & Kitchen,Consumer,315.0,0.291,10,29.1,4.1
ORD-100045,2024-02-24,East,Seasonal,Corporate,201.48,0.297,3,70.99,2.7
ORD-100046,2024-10-30,South,Electronics,Corporate,228.9,0.169,8,-32.44,2.0
ORD-100047,2024-05-12,Central,Seasonal,Corporate,,0.064,9,54.06,1.0
ORD-100048,2024-09-08,North,Electronics,Corporate,282.06,0.242,4,40.93,2.6
ORD-100049,2024-06-29,East,Office Supplies,Corporate,254.97,0.349,4,89.27,1.5
ORD-100050,2024-10-28,Central,Home & Kitchen,Corporate,264.25,0.076,2,59.16,4.3
ORD-100051,2024-05-29,South,Seasonal,Corporate,228.31,0.016,2,72.2,4.5
ORD-100052,2024-02-03,North,Home & Kitchen,Home Office,169.51,0.329,11,,1.2
ORD-100053,2024-11-12,Central,electronics,Corporate,310.91,0.268,8,76.11,2.2
ORD-100054,2024-11-16,  north,Electronics,Consumer,178.09,0.035,4,28.24,1.7
ORD-100055,2024-12-25,North,Seasonal,Consumer,255.22,0.081,5,46.0,4.2
ORD-100056,2024-03-13,South,Office Supplies,Home Office,166.8,0.227,10,13.78,4.7
ORD-100057,2024-11-02,,electronics,Home Office,166.52,0.189,6,57.59,3.4
ORD-100058,2024-05-17,South,electronics,Home Office,306.93,0.007,11,48.5,2.8
ORD-100059,2024-06-13,South,Office Supplies,Corporate,202.08,0.165,8,145.5,2.2
ORD-100060,2024-07-25,North,Seasonal,Home Office,388.02,0.113,8,26.44,2.7
ORD-100061,2024-05-27,  north,electronics,Consumer,278.98,0.071,1,71.27,4.9
ORD-100062,2024-02-28,North,Seasonal,Consumer,204.14,0.033,8,30.98,4.7
ORD-100063,2024-04-07,Central,Seasonal,Consumer,217.48,0.16,2,90.29,2.1
ORD-100064,2024-10-27,  north,electronics,Consumer,270.6,0.099,8,14.91,3.2
ORD-100065,2024-10-19,West,Electronics,Corporate,192.96,0.066,8,76.42,3.8
ORD-100066,2024-09-14,East,Electronics,Corporate,279.74,0.173,2,17.54,3.1
ORD-100067,2024-06-22,West,Seasonal,Consumer,126.58,0.164,6,57.84,4.4
ORD-100068,2024-02-05,  north,Office Supplies,Consumer,299.61,0.305,2,22.32,2.7
ORD-100069,2024-01-29,East,electronics,Consumer,342.38,0.316,4,69.66,3.1
ORD-100070,2024-10-25,West,Seasonal,Corporate,120.12,0.217,8,23.58,2.0
ORD-100071,2024-10-27,West,Seasonal,Corporate,394.32,0.155,8,48.2,4.4
ORD-100072,2024-05-31,,Seasonal,Corporate,274.73,0.201,5,73.07,1.0
ORD-100073,2024-04-27,East,Furniture,Home Office,341.88,0.291,4,5.95,3.5
ORD-100074,2024-06-07,North,Home & Kitchen,Corporate,193.96,0.316,3,1.92,1.4
ORD-100075,2024-05-19,East,electronics,Corporate,212.88,0.34,6,92.79,4.2
